stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,131587.46
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,141804.11
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,33554432,147580.04
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,67108864,150087.09
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.91
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,5.78
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,12.16
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,25.02
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,47.67
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,94.70
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,198.94
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,395.89
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,706.30
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,42.86
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,123.18
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,247.62
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,490.64
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,931.96
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,1850.62
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,3298.42
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,6610.44
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,12112.79
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,21110.04
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,37557.34
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,57646.25
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,82109.87
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,116619.48
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,131818.78
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,141833.61
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,147519.90
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,150013.87
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,3.02
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,6.04
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,12.92
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,26.44
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,53.18
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,105.66
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,211.01
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,375.35
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,804.89
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,42.98
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,117.85
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,234.16
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,466.49
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,913.05
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,1808.93
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,3281.35
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,6402.83
