################# NATIVE STACK #################
--- NATIVE / HSA_ENABLE_SDMA=0 ---

################################################################
# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg links=4
################################################################
  [run 1/6] warm-up — 20:20:12
  [run 1/6] warm-up done in 10s
  [run 2/6] recording — 20:20:22
  [run 2/6] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
256                   433.85
512                   804.52
1024                  584.55
2048                 1173.72
4096                 2350.71
8192                  980.50
16384                1916.13
32768                3506.37
65536                6407.86
131072              10952.83
262144              16380.51
524288              23348.19
1048576             28829.28
2097152             34931.91
4194304             37212.65
8388608             38302.02
16777216            38773.06
33554432            38902.34
67108864            38833.79
  [run 4/6] recording — 20:31:11
srun: Step created for StepId=18633084.45
  [run 4/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.64
2                       5.71
4                      11.59
8                      23.32
16                     46.48
32                     93.20
64                    171.16
128                   286.74
256                   432.21
512                   777.07
1024                  585.01
2048                 1175.43
4096                 2347.25
8192                  979.19
16384                1915.58
32768                3518.73
65536                6411.30
131072              10970.79
262144              16421.42
524288              23356.73
1048576             28833.73
2097152             34931.08
4194304             37284.85
8388608             38355.77
16777216            38846.63
33554432            38949.34
67108864            38860.62
  [run 5/6] recording — 20:31:35
srun: Step created for StepId=18633084.46
  [run 5/6] done in 24s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.71
2                       5.74
4                      11.50
8                      23.67
16                     47.02
32                     91.31
64                    172.86
128                   356.82
256                   429.49
512                   772.83
1024                  589.11
2048                 1178.14
4096                 2347.87
8192                  982.75
16384                1919.85
32768                3472.57
65536                6424.02
131072              10958.58
262144              16410.72
524288              23379.30
1048576             28900.45
2097152             34967.96
4194304             37302.44
8388608             38374.82
16777216            38880.17
33554432            38971.47
67108864            38885.90
  [run 6/6] recording — 20:31:59
srun: Step created for StepId=18633084.47
  [run 6/6] done in 24s

