stack,sdma_enabled,mpich_gpu_ipc_threshold,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,61790.63
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,85329.13
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,118182.10
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,8388608,133319.46
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,16777216,143043.47
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,33554432,148351.84
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,3,67108864,150439.87
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.96
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,6.65
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,13.37
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,26.65
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,54.48
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,100.23
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,223.53
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,346.80
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,437.66
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,808.94
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,1374.04
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,1853.23
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,2276.03
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,1106.16
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,2203.93
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,4097.30
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,7945.44
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,14861.48
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,23330.20
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,41416.63
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,61661.71
native,0,4096,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,85323.44
