
################################################################
# intra_pkg_OAM0   GCD(0,1)   tier=intra_pkg   num_links=4
# Hypothesis: intra-package, 4 links, ~100 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
2097152             34513.64
4194304             35499.47
  [run 4] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.75
2                       6.22
4                      12.46
8                      24.72
16                     50.13
32                    100.82
64                    177.48
128                   322.49
256                   430.00
512                   805.44
1024                  572.40
2048                 1144.66
4096                 2294.64
8192                 1477.21
16384                2822.51
32768                5253.41
65536                9472.17
131072              15251.06
262144              21524.81
524288              27562.05
1048576             32070.42
2097152             34523.87
4194304             35492.31
  [run 5] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.77
2                       6.05
4                      12.35
8                      24.76
16                     50.24
32                     92.17
64                    177.25
128                   368.98
256                   430.64
512                   789.82
1024                  569.59
2048                 1141.89
4096                 2291.46
8192                 1482.33
16384                2835.01
32768                5394.50
65536                9525.77
131072              15373.84
262144              21506.74
524288              27567.59
1048576             32009.30
2097152             34524.01
4194304             35493.96
  [run 6] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.73
2                       6.10
4                      12.24
8                      24.77
16                     50.13
32                     97.85
64                    190.69
128                   306.83
256                   429.52
512                   763.28
1024                  563.88
2048                 1131.74
4096                 2256.66
8192                 1474.18
16384                2823.93
32768                5254.40
65536                9453.96
131072              15253.30
262144              21543.86
524288              27584.59
1048576             32049.77
2097152             34516.11
4194304             35486.90

################################################################
# inter_pkg_1link_15   GCD(1,5)   tier=inter_pkg_1link   num_links=1
# Hypothesis: inter-package, 1 link, ~35 GB/s uni
################################################################
  [run 1] warm-up — output discarded
  [run 2] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.78
2                       6.26
4                      12.23
8                      24.47
16                     49.77
32                     94.28
64                    178.23
128                   379.01
256                   430.33
512                   784.53
1024                  569.15
2048                 1141.64
4096                 2236.96
8192                 1470.61
16384                2818.20
32768                5237.66
65536                9362.36
131072              15132.20
262144              21488.62
524288              27545.26
1048576             31947.56
2097152             34482.71
4194304             35483.95
  [run 3] recording

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.87
2                       6.46
4                      12.73
8                      25.96
16                     52.66
32                    103.08
64                    196.88
